,Coach,Club,Appearance
0,Sir Alex Ferguson,Manchester United FC,190
1,Arsène Wenger,Arsenal FC,171
2,Arsène Wenger,AS Monaco FC,7
3,Carlo Ancelotti,FC Bayern München,12
4,Carlo Ancelotti,Juventus,10
5,Carlo Ancelotti,Chelsea FC,18
6,Carlo Ancelotti,AC Milan,73
7,Carlo Ancelotti,Real Madrid CF,25
8,Carlo Ancelotti,Paris Saint-Germain,10
9,Carlo Ancelotti,Parma FC,6
10,Carlo Ancelotti,SSC Napoli,12
11,José Mourinho,Tottenham Hotspur,4
12,José Mourinho,Manchester United FC,14
13,José Mourinho,Real Madrid CF,32
14,José Mourinho,Chelsea FC,57
15,José Mourinho,FC Internazionale Milano,21
16,José Mourinho,FC Porto,17
17,Josep Guardiola,Manchester City FC,45
18,Josep Guardiola,FC Barcelona,49
19,Josep Guardiola,FC Bayern München,36
20,Mircea Lucescu,Beşiktaş JK,6
21,Mircea Lucescu,FC Shakhtar Donetsk,68
22,Mircea Lucescu,FC Internazionale Milano,3
23,Mircea Lucescu,FC Dynamo Kyiv,6
24,Mircea Lucescu,Galatasaray AŞ,26
25,Louis van Gaal,FC Bayern München,21
26,Louis van Gaal,AFC Ajax,32
27,Louis van Gaal,FC Barcelona,36
28,Louis van Gaal,Manchester United FC,6
29,Ottmar Hitzfeld,Borussia Dortmund,19
30,Ottmar Hitzfeld,FC Bayern München,76
31,Rafael Benítez,SSC Napoli,6
32,Rafael Benítez,Valencia CF,14
33,Rafael Benítez,Real Madrid CF,6
34,Rafael Benítez,Liverpool FC,62
35,Rafael Benítez,FC Internazionale Milano,6
36,Rafael Benítez,Chelsea FC,1
37,Massimiliano Allegri,AC Milan,32
38,Massimiliano Allegri,Juventus,54
39,Fabio Capello,Real Madrid CF,8
40,Fabio Capello,Juventus,20
41,Fabio Capello,AC Milan,26
42,Fabio Capello,AS Roma,24
43,Diego Simeone,Club Atlético de Madrid,77
44,Jürgen Klopp,Borussia Dortmund,35
45,Jürgen Klopp,Liverpool FC,42
46,Marcello Lippi,Juventus,76
47,Manuel Pellegrini,Manchester City FC,26
48,Manuel Pellegrini,Málaga CF,10
49,Manuel Pellegrini,Real Madrid CF,8
50,Manuel Pellegrini,Villarreal CF,22
51,Ronald Koeman,AFC Ajax,26
52,Ronald Koeman,AZ Alkmaar,5
53,Ronald Koeman,FC Barcelona,8
54,Ronald Koeman,PSV Eindhoven,13
55,Ronald Koeman,SL Benfica,10
56,Ronald Koeman,Valencia CF,3
57,Roberto Mancini,SS Lazio,6
58,Roberto Mancini,Manchester City FC,12
59,Roberto Mancini,Galatasaray AŞ,7
60,Roberto Mancini,FC Internazionale Milano,36
61,Vicente del Bosque,Real Madrid CF,60
62,Javier Iruretagoyena Amiano,Real Club Deportivo La Coruña,58
63,Luciano Spalletti,AS Roma,30
64,Luciano Spalletti,FC Internazionale Milano,6
65,Luciano Spalletti,FC Zenit,21
66,Oleg Romantsev,FC Spartak Moskva,56
67,Fatih Terim,Galatasaray AŞ,53
68,Héctor Cúper,FC Internazionale Milano,18
69,Héctor Cúper,Valencia CF,34
70,Nils Arne Eggen,Rosenborg BK,49
71,Zinédine Zidane,Real Madrid CF,49
72,Claude Puel,Olympique Lyonnais,28
73,Claude Puel,LOSC Lille,14
74,Claude Puel,AS Monaco FC,6
75,Claudio Ranieri,Juventus,8
76,Claudio Ranieri,FC Internazionale Milano,7
77,Claudio Ranieri,AS Roma,7
78,Claudio Ranieri,Chelsea FC,12
79,Claudio Ranieri,Valencia CF,6
80,Claudio Ranieri,Leicester City FC,7
81,Jupp Heynckes,FC Bayern München,36
82,Jupp Heynckes,Real Madrid CF,11
83,Guus Hiddink,Chelsea FC,8
84,Guus Hiddink,Real Madrid CF,6
85,Guus Hiddink,PSV Eindhoven,32
86,Laurent Blanc,FC Girondins de Bordeaux,16
87,Laurent Blanc,Paris Saint-Germain,30
88,Didier Deschamps,AS Monaco FC,21
89,Didier Deschamps,Olympique de Marseille,24
90,Yuri Semin,FC Dynamo Kyiv,7
91,Yuri Semin,FC Lokomotiv Moskva,38
92,Jorge Jesus,SL Benfica,33
93,Jorge Jesus,Sporting Clube de Portugal,10
94,Ernesto Valverde,Valencia CF,2
95,Ernesto Valverde,Olympiacos FC,6
96,Ernesto Valverde,Athletic Club,6
97,Ernesto Valverde,FC Barcelona,28
98,Felix Magath,VfB Stuttgart,8
99,Felix Magath,FC Schalke 04,8
100,Felix Magath,FC Bayern München,24
101,Thomas Schaaf,SV Werder Bremen,40
102,Unai Emery,Valencia CF,13
103,Unai Emery,Sevilla FC,6
104,Unai Emery,Paris Saint-Germain,16
105,Unai Emery,FC Spartak Moskva,5
