,Year,Winners,Runners-up,Score
1,2019-20,Bayern Munich,Paris St-Germain,0-1
2,2018-19,Liverpool,Tottenham,2-0
3,2017-18,Real Madrid,Liverpool,3-1
4,2016-17,Real Madrid,Juventus,4-1
5,2015-16,Real Madrid,Atlético Madrid,1-1 (5–3)
6,2014-15,Barcelona,Juventus,3-1
7,2013-14,Real Madrid,Atlético Madrid,4-1
8,2012-13,Bayern Munich,Borussia Dortmund,2-1
9,2011-12,Chelsea,Bayern Munich,1-1 (4–3)
10,2010-11,Barcelona,Manchester United,3-1
11,2009-10,Internazionale,Bayern Munich,2-0
12,2008-09,Barcelona,Manchester United,2-0
13,2007-08,Manchester United,Chelsea,1-1 (6–5)
14,2006-07,Milan,Liverpool,2-1
15,2005-06,Barcelona,Arsenal,2-1
16,2004-05,Liverpool,Milan,3-3
17,2003-04,Porto,Monaco,3-0
18,2002-03,Milan,Juventus,0-0
19,2001-02,Real Madrid,Bayer Leverkusen,2-1
20,2000-01,Bayern Munich,Valencia,1-1
21,1999-00,Real Madrid,Valencia,3-0
22,1998-99,Manchester United,Bayern Munich,2-1
23,1997-98,Real Madrid,Juventus,1-0
24,1996-97,Borussia Dortmund,Juventus,3-1
25,1995-96,Juventus,Ajax,1-1
26,1994-95,Ajax,Milan,1-0
27,1993-94,Milan,Barcelona,4-0
28,1992-93,Marseille,Milan,1-0
