,Player,Appearances
0,Iker Casillas,177
1,Cristiano Ronaldo,176
2,Xavi Hernández,151
3,Lionel Messi,149
4,Raúl González,142
5,Ryan Giggs,141
6,Andrés Iniesta,130
7,Sergio Ramos,128
8,Karim Benzema,126
9,Clarence Seedorf,125
10,Gianluigi Buffon,124
11,Paul Scholes,124
12,Thomas Müller,122
13,Roberto Carlos,120
14,Xabi Alonso,119
15,Sergio Busquets,119
16,Zlatan Ibrahimović,119
17,Gerard Piqué,119
18,Manuel Neuer,117
19,Carles Puyol,115
20,Thierry Henry,112
21,Philipp Lahm,112
22,Dani Alves,111
23,Petr Čech,111
24,Toni Kroos,111
25,Arjen Robben,110
26,Paolo Maldini,109
27,Gary Neville,109
28,John Terry,109
29,Ashley Cole,108
30,Patrice Evra,108
31,Andrea Pirlo,108
32,David Beckham,107
33,Víctor Valdés,106
34,Frank Lampard,105
35,Cesc Fàbregas,104
36,Oliver Kahn,103
37,Luís Figo,103
38,Pepe,102
39,Andriy Shevchenko,100
40,Alessandro Nesta,99
41,Edwin van der Sar,98
42,Marcelo,98
43,Guti,97
44,Javier Zanetti,97
45,Robert Lewandowski,96
46,Claude Makelele,96
47,Javier Mascherano,96
48,Bastian Schweinsteiger,95
49,Maxwell,94
50,Michael Ballack,93
51,Rio Ferdinand,93
52,Fernando Morientes,93
53,Fernandinho,93
54,Didier Drogba,92
55,Ángel Di María,90
56,Luka Modrić,90
57,David Alaba,89
58,Alessandro Del Piero,88
59,Hasan Salihamidžić,88
60,Iván Helguera,87
61,Franck Ribéry,87
62,Dejan Stanković,87
63,Ricardo Carvalho,86
64,Kaká,86
65,Wayne Rooney,85
66,Jérôme Boateng,83
67,Lúcio,83
68,Thiago Silva,83
69,Gonzalo Higuaín,83
70,Florent Malouda,83
71,Massimo Ambrosini,82
72,Thiago Motta,82
73,Robert Pirès,82
74,Mikaël Silvestre,82
75,Raphaël Varane,82
76,Frank de Boer,81
77,Sergei Ignashevich,81
78,Filippo Inzaghi,81
79,Míchel Salgado,81
80,Jamie Carragher,80
81,Miralem Pjanić,80
82,Ivan Rakitić,80
83,Zinédine Zidane,80
84,Esteban Cambiasso,79
85,Phillip Cocu,79
86,Gennaro Gattuso,79
87,Fernando Torres,79
88,Samuel Eto’o,78
89,Jordi Alba,77
90,Sami Khedira,77
91,Olexandr Shovkovskiy,77
92,Ole Gunnar Solskjær,77
93,Alessio Tacchinardi,77
94,Sergio Agüero,76
95,Douglas Costa,76
96,Michael Essien,76
97,Pepe Reina,76
98,Pedro Rodríguez,76
99,Wesley Sneijder,76
100,Mark van Bommel,76
101,Arturo Vidal,76
102,Patrick Vieira,76
103,Sylvain Wiltord,76
104,Deco,75
105,Edgar Davids,74
106,Pavel Nedvěd,74
107,Christian Panucci,74
108,Michael Reiziger,74
109,John Arne Riise,74
110,Rivaldo,73
111,Giorgio Chiellini,73
112,Gaël Clichy,73
113,Steven Gerrard,73
114,Sidney Govou,73
115,Claudio Pizarro,73
116,Koke,73
117,Ruud van Nistelrooy,73
118,Dida,72
119,Rafinha,72
120,Samuel Kuffour,72
121,Anthony Réveillère,72
122,Walter Samuel,72
123,Isco,71
124,Leonardo Bonucci,71
125,Willian,71
126,William Gallas,71
127,Roy Keane,71
128,Patrick Kluivert,71
129,John O’Shea,71
130,Roar Strand,71
131,Michael Carrick,70
132,Antoine Griezmann,70
133,David Silva,70
134,Kakha Kaladze,70
135,Tomáš Rosický,70
136,Mehmet Scholl,70
137,Yaya Touré,70
138,Gianluca Zambrotta,70
139,Giovane Elber,69
140,Mesut Özil,69
141,Andriy Pyatov,69
142,Nicolas Anelka,68
143,Álvaro Arbeloa,68
144,Blaise Matuidi,68
145,Fernando Hierro,68
146,Nicky Butt,67
147,Martín Demichelis,67
148,Jens Lehmann,67
149,Alex Sandro,67
150,Gianluca Pessotto,67
151,Lilian Thuram,67
152,Kolo Touré,67
153,Casemiro,66
154,Edinson Cavani,66
155,Alex,66
156,Emmanuel Eboué,66
157,Mats Hummels,66
158,Luis Suárez,66
159,Santiago Cañizares,65
160,Alessandro Costacurta,65
161,Hernán Crespo,65
162,Neymar,65
163,Javi Martínez,65
164,Marc-André ter Stegen,65
165,Marco Verratti,65
166,Gareth Bale,64
167,José Bosingwa,64
168,Diego Godín,64
169,Branislav Ivanović,64
170,Fredrik Ljungberg,64
171,Hugo Lloris,64
172,Yaroslav Rakits’kyy,64
173,Fernando,64
174,Willy Sagnol,64
175,Júlio César,64
176,Thiago Alcántara,63
177,Wes Brown,63
178,Lucho González,63
179,Darijo Srna,63
180,Éric Abidal,62
181,Marquinhos,62
182,Jörg Butt,62
183,Zé Roberto,62
184,Predrag Djordjević,62
185,Emerson,62
186,Darren Fletcher,62
187,Mario Götze,62
188,Tomáš Hübschman,62
189,Seydou Keita,62
190,Bixente Lizarazu,62
191,Jaap Stam,62
192,Fabio Cannavaro,61
193,Grégory Coupet,61
194,Luisão,61
195,Daniele De Rossi,61
196,Didier Deschamps,61
197,João Moutinho,61
198,Roy Makaay,61
199,Antonis Nikopolidis,61
200,Roque Santa Cruz,61
201,Santiago Solari,61
202,Igor Akinfeev,60
203,Nani,60
204,Ricardo Quaresma,60
205,Dimitar Berbatov,60
206,Iván Córdoba,60
207,Jefferson Farfán,60
208,Erik Hoftun,60
209,Nwankwo Kanu,60
210,Mario Mandžukić,60
211,Álvaro Morata,60
212,Jesús Navas,60
213,Maicon,60
214,Juan Verón,60
215,Raúl Albiol,59
216,Cris,59
217,İlkay Gündoğan,59
218,Denis Irwin,59
219,John Obi Mikel,59
220,Phil Neville,59
221,Saúl Ñíguez,59
222,Jan Oblak,59
223,Juninho Pernambucano,59
224,Robin van Persie,59
225,Theo Walcott,59
226,Axel Witsel,59
227,Aleksandr Hleb,58
228,Samir Nasri,58
229,Alexis Sánchez,58
230,Raheem Sterling,58
231,David Trezeguet,58
232,David Albelda,57
233,Joe Cole,57
234,Gilberto Silva,57
235,Jari Litmanen,57
236,Lucas Moura,57
237,Maxi Pereira,57
238,Bacary Sagna,57
239,Wojciech Szczęsny,57
240,Francesco Totti,57
241,César Azpilicueta,56
242,Dani Carvajal,56
243,Adriano,56
244,Julian Draxler,56
245,Mohamed Salah,56
246,Aleksandar Kolarov,56
247,Vítor Baía,56
248,James Milner,56
249,Paolo Montero,56
250,Keylor Navas,56
251,Nicolás Otamendi,56
252,Marc Overmars,56
253,Angelo Peruzzi,56
254,Aaron Ramsey,56
255,Javier Saviola,56
256,Aleksei Berezutski,55
257,Edin Džeko,55
258,Cafu,55
259,Mathieu Flamini,55
260,Bent Skammelsrud,55
261,Christian Abbiati,54
262,Fabien Barthez,54
263,John Carew,54
264,Ronald de Boer,54
265,Mahamadou Diarra,54
266,Serginho,54
267,Ciro Ferrara,54
268,Salomon Kalou,54
269,Per Mertesacker,54
270,David Luiz,54
271,Park Ji-Sung,54
272,Łukasz Piszczek,54
273,Lionel Scaloni,54
274,Lauren,53
275,Rui Costa,53
276,Jorge Costa,53
277,Eden Hazard,53
278,Sami Hyypiä,53
279,Philippe Mexès,53
280,James Rodríguez,53
