,Player,Matches played,Attempts on target,Attempts off target,Attempts blocked,Attempts against woodwork,Team
681,Adrian Bernabe,0,0,0,0,0,Man. City
831,Andreas Christensen,6,0,1,0,0,Chelsea
187,Antonio Rüdiger,10,2,2,1,0,Chelsea
823,Aymeric Laporte,4,0,1,0,0,Man. City
97,Ben Chilwell,9,3,1,1,0,Chelsea
821,Benjamin Mendy,1,0,1,0,0,Man. City
58,Bernardo Silva,12,5,3,3,0,Man. City
267,Billy Gilmour,2,1,0,1,0,Chelsea
107,Callum Hudson-Odoi,7,3,1,3,0,Chelsea
89,Christian Pulišić,9,4,4,5,1,Chelsea
647,Cole Palmer,1,0,0,0,0,Man. City
192,César Azpilicueta,10,2,2,0,0,Chelsea
536,Ederson,11,0,0,0,0,Man. City
660,Edouard Mendy,11,0,0,0,0,Chelsea
168,Emerson,6,2,1,0,0,Chelsea
285,Eric García,3,1,1,0,0,Man. City
771,Faustino Anjorin,1,0,1,1,0,Chelsea
665,Felix Nmecha,1,0,0,0,0,Man. City
842,Fernandinho,6,0,1,0,0,Man. City
57,Ferran Torres,6,5,3,5,0,Man. City
80,Gabriel Jesus,6,4,2,3,0,Man. City
23,Hakim Ziyech,10,8,2,3,0,Chelsea
710,James Trafford,0,0,0,0,0,Man. City
561,John Stones,10,0,0,0,0,Man. City
299,Jorginho,11,1,1,0,1,Chelsea
124,João Cancelo,9,3,4,0,0,Man. City
129,Kai Havertz,11,3,5,3,2,Chelsea
675,Karlo Ziger,0,0,0,0,0,Chelsea
420,Kepa,1,0,0,0,0,Chelsea
45,Kevin De Bruyne,7,6,9,5,1,Man. City
320,Kurt Zouma,5,1,2,0,0,Chelsea
313,Kyle Walker,10,1,1,0,0,Man. City
311,Marcos Alonso,2,1,1,0,0,Chelsea
77,Mason Mount,10,4,2,5,0,Chelsea
906,Mateo Kovačić,9,0,5,2,0,Chelsea
480,N'Golo Kanté,12,0,0,1,0,Chelsea
222,Nathan Aké,2,1,0,0,0,Man. City
117,Oleksandr Zinchenko,8,3,3,0,0,Man. City
29,Olivier Giroud,8,7,2,1,0,Chelsea
4,Phil Foden,12,17,11,3,1,Man. City
41,Raheem Sterling,10,6,2,3,0,Man. City
885,Reece James,9,0,3,1,0,Chelsea
13,Riyad Mahrez,11,12,5,9,0,Man. City
171,Rodri,10,2,1,1,0,Man. City
868,Rúben Dias,10,0,2,1,0,Man. City
379,Scott Carson,0,0,0,0,0,Man. City
144,Sergio Agüero,6,2,0,0,0,Man. City
206,Tammy Abraham,5,2,3,1,0,Chelsea
708,Taylor Harwood-Bellis,0,0,0,0,0,Man. City
858,Thiago Silva,7,0,2,1,0,Chelsea
727,Thomas Doyle,1,0,0,0,0,Man. City
7,Timo Werner,11,13,7,3,0,Chelsea
503,Willy Caballero,0,0,0,0,0,Chelsea
700,Zack Steffen,1,0,0,0,0,Man. City
87,İlkay Gündoğan,11,4,4,4,1,Man. City
