,Player,Minutes played,Fouls committed,Fouls suffered,Yellow cards,Red cards,Team
164,Andreas Christensen,540,9,1,1,0,Chelsea
342,Antonio Rüdiger,832,10,3,0,0,Chelsea
241,Aymeric Laporte,277,4,0,1,0,Man. City
138,Ben Chilwell,685,13,10,1,0,Chelsea
148,Bernardo Silva,866,11,8,1,0,Man. City
570,Billy Gilmour,95,1,1,0,0,Chelsea
457,Callum Hudson-Odoi,339,3,1,0,0,Chelsea
119,Christian Pulišić,396,4,22,2,0,Chelsea
131,César Azpilicueta,874,17,7,1,0,Chelsea
353,Emerson,218,8,2,0,0,Chelsea
293,Eric García,208,2,0,1,0,Man. City
500,Faustino Anjorin,80,2,0,0,0,Chelsea
57,Fernandinho,316,12,5,2,0,Man. City
585,Ferran Torres,360,1,5,0,0,Man. City
126,Hakim Ziyech,345,4,5,2,0,Chelsea
534,John Stones,706,2,2,0,0,Man. City
22,Jorginho,941,11,9,4,0,Chelsea
30,João Cancelo,604,11,2,3,0,Man. City
135,Kai Havertz,698,14,13,1,0,Chelsea
70,Kevin De Bruyne,609,11,7,2,0,Man. City
404,Kurt Zouma,450,4,2,0,0,Chelsea
220,Kyle Walker,892,5,1,1,0,Man. City
480,Marcos Alonso,180,2,2,0,0,Chelsea
20,Mason Mount,680,16,7,4,0,Chelsea
84,Mateo Kovačić,593,8,9,2,0,Chelsea
142,N'Golo Kanté,619,12,3,1,0,Chelsea
433,Nathan Aké,180,3,1,0,0,Man. City
272,Oleksandr Zinchenko,496,3,1,1,0,Man. City
364,Olivier Giroud,257,7,6,0,0,Chelsea
373,Phil Foden,976,6,11,0,0,Man. City
172,Raheem Sterling,571,8,5,1,0,Man. City
354,Reece James,477,8,4,0,0,Chelsea
358,Riyad Mahrez,722,7,12,0,0,Man. City
174,Rodri,785,8,7,1,0,Man. City
165,Rúben Dias,880,9,4,1,0,Man. City
477,Sergio Agüero,134,2,0,0,0,Man. City
421,Tammy Abraham,231,4,4,0,0,Chelsea
460,Thiago Silva,528,3,4,0,0,Chelsea
343,Timo Werner,750,9,10,0,0,Chelsea
136,İlkay Gündoğan,887,13,9,1,0,Man. City
