,Player,Matches played,Minutes played,Goals scored,Assists,Team
275,Antonio Rüdiger,10,832,0,1,Chelsea
175,Ben Chilwell,9,685,1,0,Chelsea
87,Bernardo Silva,12,866,1,2,Man. City
60,Callum Hudson-Odoi,7,339,2,0,Chelsea
46,Christian Pulišić,9,396,2,2,Chelsea
131,Emerson,6,218,1,0,Chelsea
196,Felix Nmecha,1,5,0,1,Man. City
21,Ferran Torres,6,360,4,0,Man. City
58,Gabriel Jesus,6,237,2,0,Man. City
63,Hakim Ziyech,10,345,2,0,Chelsea
113,Jorginho,11,941,1,1,Chelsea
108,João Cancelo,9,604,1,1,Man. City
181,Kai Havertz,11,698,0,3,Chelsea
24,Kevin De Bruyne,7,609,3,4,Man. City
53,Mason Mount,10,680,2,1,Chelsea
265,Mateo Kovačić,9,593,0,1,Chelsea
266,N'Golo Kanté,12,619,0,1,Chelsea
205,Nathan Aké,2,180,0,1,Man. City
257,Oleksandr Zinchenko,8,496,0,1,Man. City
5,Olivier Giroud,8,257,6,0,Chelsea
27,Phil Foden,12,976,3,3,Man. City
85,Raheem Sterling,10,571,1,2,Man. City
254,Reece James,9,477,0,1,Chelsea
16,Riyad Mahrez,11,722,4,2,Man. City
56,Sergio Agüero,6,134,2,0,Man. City
91,Tammy Abraham,5,231,1,1,Chelsea
17,Timo Werner,11,750,4,2,Chelsea
37,İlkay Gündoğan,11,887,3,1,Man. City
