,Player,PA,PC,PC %,CA,CC,Team
66,Andreas Christensen,390,354,91%,0,0,Chelsea
16,Antonio Rüdiger,599,529,88%,0,0,Chelsea
135,Aymeric Laporte,307,289,94%,0,0,Man. City
74,Ben Chilwell,381,285,75%,23,2,Chelsea
523,Benjamin Mendy,73,64,88%,11,4,Man. City
32,Bernardo Silva,506,438,87%,13,0,Man. City
476,Billy Gilmour,92,83,90%,1,0,Chelsea
358,Callum Hudson-Odoi,152,121,80%,9,2,Chelsea
342,Christian Pulišić,161,123,76%,6,1,Chelsea
704,Cole Palmer,5,5,100%,0,0,Man. City
10,César Azpilicueta,625,525,84%,12,2,Chelsea
147,Ederson,298,265,89%,0,0,Man. City
115,Edouard Mendy,330,271,82%,0,0,Chelsea
417,Emerson,122,104,85%,23,6,Chelsea
220,Eric García,235,223,95%,0,0,Man. City
570,Faustino Anjorin,49,42,86%,0,0,Chelsea
718,Felix Nmecha,3,3,100%,0,0,Man. City
206,Fernandinho,244,219,90%,4,1,Man. City
526,Ferran Torres,72,59,82%,2,1,Man. City
485,Gabriel Jesus,89,73,82%,1,0,Man. City
266,Hakim Ziyech,207,153,74%,11,3,Chelsea
20,John Stones,579,556,96%,0,0,Man. City
6,Jorginho,717,657,92%,1,1,Chelsea
22,João Cancelo,575,506,88%,12,4,Man. City
90,Kai Havertz,354,306,86%,2,1,Chelsea
628,Kepa,25,23,92%,0,0,Chelsea
50,Kevin De Bruyne,430,347,81%,44,6,Man. City
82,Kurt Zouma,364,334,92%,0,0,Chelsea
7,Kyle Walker,691,624,90%,5,2,Man. City
498,Marcos Alonso,83,70,84%,5,2,Chelsea
125,Mason Mount,315,265,84%,23,5,Chelsea
42,Mateo Kovačić,448,400,89%,1,0,Chelsea
65,N'Golo Kanté,394,340,86%,3,1,Chelsea
398,Nathan Aké,129,120,93%,1,0,Man. City
27,Oleksandr Zinchenko,540,473,88%,20,2,Man. City
533,Olivier Giroud,69,52,75%,0,0,Chelsea
26,Phil Foden,555,464,84%,46,13,Man. City
223,Raheem Sterling,233,190,82%,3,0,Man. City
175,Reece James,263,220,84%,32,5,Chelsea
60,Riyad Mahrez,405,327,81%,29,5,Man. City
4,Rodri,833,779,94%,1,0,Man. City
3,Rúben Dias,834,799,96%,0,0,Man. City
659,Sergio Agüero,18,13,72%,0,0,Man. City
559,Tammy Abraham,54,37,69%,0,0,Chelsea
119,Thiago Silva,324,303,94%,0,0,Chelsea
727,Thomas Doyle,1,1,100%,0,0,Man. City
225,Timo Werner,233,174,75%,9,0,Chelsea
632,Zack Steffen,24,22,92%,0,0,Man. City
2,İlkay Gündoğan,845,771,91%,6,0,Man. City
